country,year,Current_Account_Balance,Debt_Service_to_Exports,Financial_depth,GDP_per_Capita,Inflation_CPI,Regulatory_Quality,Terms_of_Trade,Treatment_Group,Criteria_1,Criteria_2
STP,2019,-21.799320591176,11.6966692104798,,1420.66008316091,7.72024525213248,-0.967672407627106,79.1740012447,1,1,0
STP,2020,-12.64674361519,5.46401509357147,,1430.84119299096,9.81932791540146,-0.974100470542908,84.7512037178,1,1,0
STP,2021,-18.1632158527971,3.88585309864411,,1428.28676097975,8.13777038378732,-0.947238504886627,91.3365409659,1,1,0
STP,2022,-14.688595567935,7.19702079752916,,1403.23356704678,18.0056351122841,-0.89024293422699,,1,1,0
STP,2023,,5.07514487870101,,1380.60169416257,21.2589138473,-0.940236151218414,,1,1,0
SWZ,2000,-2.63874250374091,2.23355814165374,,2279.16365357531,12.2085358545844,-0.189359664916992,89.9495643168,0,0,0
SWZ,2001,0.583532063806403,2.34628412023002,,2282.05736333109,5.94210982281648,,92.2466944914,0,0,0
SWZ,2002,2.31850468098537,1.6760731340717,,2363.17915443936,12.0197154699232,-0.259639918804169,94.1004187383,0,0,0
SWZ,2003,4.06812161252617,1.67784877047328,,2438.16987981592,7.28999999999999,-0.282602161169052,91.7815369602,0,0,0
SWZ,2004,2.57392751478771,2.21442122119972,,2511.32070846495,3.44533507316614,-0.533950924873352,93.6516160168,0,0,0
SWZ,2005,-3.22978330569107,1.87943093046615,,2647.50508593652,4.77400404553712,-0.434344530105591,91.9180151854,0,0,0
SWZ,2006,-5.97401487393641,2.04211957919016,,2792.13843471862,5.30463946338728,-0.363591104745865,97.9576185951,0,0,0
SWZ,2007,-1.88916844609915,2.22217961680121,,2899.22020182905,8.07608827861589,-0.571789562702179,92.3151590625,0,0,0
SWZ,2008,-7.01973686213448,2.97555339173235,,2903.38102850651,12.6574601863915,-0.436524838209152,91.3381540597,0,0,0
SWZ,2009,-11.5716123271094,2.6941223012966,,2929.97720488048,7.44823423445754,-0.36999648809433,110.0429809331,0,0,0
SWZ,2010,-8.74814249319525,2.38261921250843,,3023.35956185278,4.50923691774369,-0.396744579076767,108.5669129902,0,0,0
SWZ,2011,-5.8442028934161,2.8329462131164,,3074.20267496598,6.10742714590251,-0.407737106084824,107.7269385929,0,0,0
SWZ,2012,4.91018584462683,3.12323812307927,,3222.72150185206,8.93964682788212,-0.303469598293304,102.1557614815,0,0,0
SWZ,2013,11.0226707628731,5.49389473353734,,3329.00880495832,5.62130623468948,-0.147563919425011,99.9794164814,0,0,0
SWZ,2014,12.047539811251,10.5823251831425,,3367.36337022137,5.68134885776447,-0.220856681466103,99.987562134,0,0,0
SWZ,2015,13.7519336554713,4.81274560599096,,3393.53367834668,4.95124493704919,-0.260019838809967,100.0,0,0,0
SWZ,2016,8.02557916075404,2.22140403245757,,3492.83223049081,7.8472745908568,-0.263931721448898,109.9273641707,0,0,0
SWZ,2017,6.14751617904165,6.22371196210371,,3552.08584648306,6.22137528933118,-0.260979354381561,106.0863735852,0,0,0
SWZ,2018,1.30340249223708,2.73262828497459,,3546.53861936884,4.81506167461513,-0.506258010864258,99.828515923,0,0,0
SWZ,2019,3.83354009105268,2.50625387035584,,3687.99051427485,2.59801620311077,-0.531037092208862,94.0535239827,0,0,0
SWZ,2020,6.59907530715042,5.39299510085531,,3542.91502785498,,-0.492181956768036,98.1361198176,0,0,0
SWZ,2021,2.64513343871852,2.90735781449707,,3621.25805750801,,-0.602753639221191,105.687062823,0,0,0
SWZ,2022,-3.00236156588613,3.82919492552606,,3582.22100266559,,-0.718993604183197,,0,0,0
SWZ,2023,2.42037953381641,7.30684471429471,,3726.43642993545,,-0.717471897602081,,0,0,0
SYR,2000,5.60277264672687,,,1248.38488334216,-3.84615384615379,-1.25603604316711,66.9433305541,0,0,0
SYR,2001,6.03349561810581,,,1230.87200021533,2.99999999999995,,62.6294930682,0,0,0
SYR,2002,6.96683485502976,,,1249.00621359351,-0.130505282417402,-1.02277934551239,63.165499774,0,0,0
SYR,2003,3.44509352863578,,,1307.4814585452,5.79682944905841,-1.05539417266846,66.7977591622,0,0,0
SYR,2004,2.35779952655753,,,1363.61946683869,4.43314136719839,-1.10369324684143,72.3006861392,0,0,0
SYR,2005,1.03607317393746,,,1411.63184941498,7.24034939348535,-0.985814392566681,84.7720420504,0,0,0
SYR,2006,2.72518888973844,,,1420.72293121298,10.0241105377571,-1.33515012264252,88.705461783,0,0,0
SYR,2007,1.13572801041147,,,1411.6899137524,3.90770950443607,-1.33315742015839,91.6816751661,0,0,0
