country,year,Control_of_Corruption,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Regulatory_Quality,cbi_index,Current_Account_Balance,External_Debt_to_GNI,Debt_Service_to_Exports,GDP_Growth,GDP_per_Capita,Inflation_CPI,Terms_of_Trade,Treatment_Group_x,Criteria_1_x,Criteria_2_x,cpiapadm,cpiamacr,cpiafinq,cpiadebt,realIR,democracy_index,broad_money_to_gdp,Primary_fiscal_balance,CPIScore,EconomicFreedomIndex,Political_Stability,Contract_Enforcement_Score,Polity2_Score,Former_HIPC
AFG,2010,-1.64539110660553,-1.47831559181213,-1.87005805969238,-1.40446734428406,-1.51652824878693,"0,81",-3.64331388234628,15.3334973971382,0.379800304581339,14.3624414710737,542.871030476037,2.17853752389419,93.9890986944,1,1,0,2.0,3.5,3.5,2.5,11.3640937418183,2.48,35.35056171531865,,,,-2.57915186882019,,,1
AFG,2011,-1.60047078132629,-1.47410047054291,-1.9225001335144,-1.33597695827484,-1.53632390499115,"0,81",-12.6195382087159,13.9770517017747,0.323576197641919,0.426354776777345,525.42698276582,11.8041858089129,94.1690895829,1,1,0,2.5,3.5,3.5,2.5,-1.241506009820015,2.48,36.62422780454293,,,,-2.50205969810486,,,1
AFG,2012,-1.43037283420563,-1.37553513050079,-1.6518931388855,-1.26743006706238,-1.19257974624634,"0,81",-25.8706814974751,12.9281604362278,0.598756026259218,12.7522870926697,568.929021458341,6.44121280934117,91.9454142326,1,1,0,2.5,3.5,3.5,2.5,7.174387247537628,2.48,32.91369227010289,,8.0,,-2.41856145858765,,,1
AFG,2013,-1.44596064090729,-1.40146291255951,-1.60975515842438,-1.24013912677765,-1.19309020042419,"0,81",-25.290058564309,12.8048363659593,1.58322814481364,5.60074465863221,580.603833333096,7.38577178397855,92.3187980336,1,1,0,2.5,3.5,3.5,2.5,9.784495938599244,2.48,32.68201689942249,,8.0,,-2.51934909820557,,,1
AFG,2014,-1.36493408679962,-1.36164617538452,-1.4377019405365,-1.13552260398865,-1.12413370609283,"0,81",-15.7724198274304,12.3049882693651,1.93817780133484,2.72454336219565,575.146245808546,4.67399603536345,93.2366418809,1,1,0,2.5,3.5,3.5,3.0,14.35168933800434,2.77,34.20959678951828,,12.0,,-2.41106843948364,,-1.0,1
AFG,2015,-1.35471308231354,-1.39739489555359,-1.51620066165924,-1.11762809753418,-1.0188262462616,"0,81",-21.9126573355151,13.4908301094464,3.29960835203606,1.45131466066431,565.569730408751,-0.661709164713742,100.0,1,1,0,2.5,3.5,3.5,3.0,12.25254816295176,2.77,33.92805265497656,,11.0,,-2.56262516975403,,-1.0,1
AFG,2016,-1.54022777080536,-1.29146802425385,-1.52253365516663,-1.03783690929413,-1.33969509601593,"0,81",-14.9501951919169,14.1470450360055,4.333403208221,2.26031420279821,563.872336723147,4.38389195513915,106.3025336899,1,1,0,2.5,3.5,3.5,2.5,17.58393816245429,2.55,37.22281865827078,,15.0,,-2.6621561050415,,-1.0,1
AFG,2017,-1.53007459640503,-1.38659679889679,-1.58117640018463,-0.990954160690308,-1.36301040649414,"0,81",-18.9559612272258,14.5133427404056,4.35357201508207,2.6470032027451,562.769574140988,4.97595150553833,108.4152517508,1,1,0,2.5,3.5,3.5,2.5,12.1411782956513,2.55,36.86126129729567,,15.0,,-2.7949755191803,,-1.0,1
AFG,2018,-1.50287592411041,-1.50175786018372,-1.68912386894226,-1.00768673419952,-1.13820362091064,"0,81",-21.5852741164653,14.6424246657516,3.32380000211032,1.18922812944517,553.125151688293,0.626149149168847,105.630245851,1,1,0,2.5,3.5,3.5,2.5,,2.97,36.60749388541284,,16.0,,-2.75344133377075,,-1.0,1
AFG,2019,-1.41931009292603,-1.5191125869751,-1.74210047721863,-1.00671291351318,-1.11377799510956,"0,81",-20.1704643881064,13.9496520351375,2.97423809266455,3.91160341625552,557.861533207459,2.30237251516834,111.9034263703,1,1,0,2.5,3.5,3.5,2.5,,2.85,34.95921431425874,,16.0,,-2.65253973007202,31.4,,1
AFG,2020,-1.49336087703705,-1.61153948307037,-1.83140671253204,-1.07826685905457,-1.38916301727295,"0,81",-15.7183027911684,15.1208585304773,2.67397501265809,-2.35110067203466,527.834554499306,5.60188791482224,118.1456362586,1,1,0,2.5,3.5,3.5,2.5,,2.85,37.50818873662987,,,,-2.702721118927,,,1
AFG,2021,-1.15226578712463,-1.67058789730072,-1.87723398208618,-1.56838941574097,-1.31168210506439,"0,81",,24.7857399527695,,-20.7388393676343,408.625855217403,5.13320340824963,106.0297770432,1,1,0,2.0,2.5,2.75,2.0,,0.32,,,,,-2.51867604255676,,,1
AFG,2022,-1.18368434906006,-1.88003480434418,-1.65984559059143,-1.75352871417999,-1.27180624008179,"0,81",,23.3368489769108,,-6.24017199240269,377.665627080705,13.7121023720065,,1,1,0,1.5,1.5,2.0,1.5,,0.32,,,,,-2.54495596885681,,,1
AFG,2023,-1.15493178367615,-1.98701369762421,-1.64964091777802,-1.85290133953094,-1.26642525196075,"0,81",,19.7980988255309,,2.71088679128353,379.707497269884,-4.64470870797775,,1,1,0,1.5,1.0,1.5,1.5,,,,,,,-2.48408055305481,,,1
AGO,2000,-1.197514295578,-1.07503414154053,-1.60150170326233,-1.45806467533112,-1.50704801082611,"0,51",8.71506351159262,131.075486566154,20.9294376480718,3.05462423430785,1932.98847886814,324.996871601321,72.5572349264,1,0,1,,,,,-60.78132703879955,,17.2805558862873,,,,-2.03817391395569,,,0
AGO,2001,-1.17650347948074,-1.10359561443329,-1.61742275953293,-1.34842187166214,-1.400591552257535,"0,51",-16.0129513307541,119.007608419805,33.1233201608334,4.2059985561951,1947.85672988915,152.561022469299,66.425581163,1,0,1,,,,,-5.032933216888333,,21.1357136613316,,,,,,,0
AGO,2002,-1.15549266338348,-1.13215708732605,-1.63334381580353,-1.23877906799316,-1.29413509368896,"0,51",-0.981927174447658,66.8015479069923,16.9555400041441,13.6656887608562,2139.87259662901,108.897436089429,67.0043095609,1,0,1,,,,,-33.55340109721077,,16.04988274206933,,,,-1.5761798620224,,,0
AGO,2003,-1.33546328544617,-1.12422430515289,-1.48285591602325,-1.27261531352997,-1.18746745586395,"0,51",-4.0395824059631,56.6608944666511,15.3138354305021,2.99000000000001,2128.19579323903,98.2241436573304,73.6879107162,1,0,1,,,,,1.128485451053092,,13.50836711885796,,,,-1.0073858499527,,,0
AGO,2004,-1.37756884098053,-1.32887244224548,-1.52091634273529,-1.28547978401184,-1.22671353816986,"0,51",2.8924761959248,46.5316387283025,13.6303255252845,10.9500000059465,2277.86696532928,43.5421067519687,88.2764004246,1,0,1,,,,,36.63763101823722,,13.55364847067898,4.04722370882677,,3.66,-1.0631206035614,,,0
AGO,2005,-1.32318198680878,-1.1102192401886,-1.46479499340057,-1.23471939563751,-1.24003624916077,"0,51",13.8970988768413,37.1535135368479,10.7538688229476,15.0299999905513,2526.41057941008,22.953513851394,120.6561083599,1,0,1,2.5,3.0,2.5,2.0,17.80088857827797,,13.29981889262532,1.24753378898395,,3.68,-0.885178327560425,,,0
AGO,2006,-1.24103772640228,-1.38104915618896,-1.31127274036407,-1.25208795070648,-1.15621566772461,"0,51",20.4078078020579,21.4383204383608,13.2243540363775,11.549999997879,2716.25302638209,13.3052101780032,135.1515252027,1,0,1,2.5,3.0,2.5,2.0,2.04511437899832,2.41,16.27332573649484,19.6513814795231,,4.04,-0.539453446865082,,,0
AGO,2007,-1.30749356746674,-1.20500719547272,-1.3751335144043,-1.18531394004822,-1.07531261444092,"0,51",16.2123974861326,20.7080710064909,9.91704008483762,14.0100000086059,2983.0418728513,12.2514974459487,142.3762336699,1,0,1,2.5,3.0,2.5,3.0,12.83731631715004,2.88,20.4468711883162,14.0398063653351,,3.99,-0.666658759117126,,,0
AGO,2008,-1.30876457691193,-1.06138837337494,-1.37856388092041,-1.11934685707092,-1.10149598121643,"0,51",8.12554260460487,20.8444196333637,2.5279809747083,11.1699999942146,3193.28772270836,12.4758291326398,169.702751097,1,0,1,2.5,3.0,2.5,3.0,-5.723724307767228,3.35,31.52050416533112,8.89994103880977,,4.11,-0.361787378787994,,,0
AGO,2009,-1.39776611328125,-0.945070207118988,-1.23628926277161,-1.12613534927368,-1.05952525138855,"0,51",-10.7693837286968,31.9407468104196,9.69552082407741,0.860000002152788,3100.60927365473,13.7302839288408,118.5824259233,1,0,1,2.5,3.0,2.5,3.0,38.97771355329613,3.335,45.60816811179288,-9.90594442764034,,4.68,-0.34759184718132,,,0
AGO,2010,-1.33247494697571,-1.13826775550842,-1.27295327186584,-1.12052512168884,-1.06021749973297,"0,52",8.95704217526965,35.3911613090284,5.74113261454767,4.39837593810763,3114.69608592822,14.4696564932577,141.5297906899,1,0,1,2.5,3.0,2.5,3.0,-7.353793454312356,3.32,34.77475246532763,2.350016898974,,4.85,-0.226182341575623,,,0
AGO,2011,-1.36746907234192,-1.19323122501373,-1.27705323696136,-1.12547838687897,-1.10753154754639,"0,52",11.7046835510956,33.9687833337354,5.74564133103308,3.47205314798103,3099.9422899117,13.4824679218511,177.1952856595,1,0,1,2.0,3.0,2.5,3.0,-9.876356840795296,3.32,34.97887158909487,11.4333303621713,,4.69,-0.369237810373306,,,0
AGO,2012,-1.30240142345428,-0.988945424556732,-1.30477690696716,-1.07624673843384,-0.990437567234039,"0,52",10.80895743621,30.7446796123415,8.39421472105114,8.54210707584141,3236.57494513146,10.2779049218839,180.05529494,1,0,1,2.0,3.0,2.5,3.0,8.764706246259454,3.35,31.5177312017641,6.84116663053837,22.0,4.96,-0.389322549104691,,,0
AGO,2013,-1.33697164058685,-1.24288654327393,-1.29094779491425,-1.11391913890839,-1.0416704416275,"0,52",6.15469619733807,35.3141708088895,8.27254208109473,4.95461303112738,3268.63890723473,8.77781429332624,181.7673985543,1,0,1,2.0,3.0,2.5,3.0,12.61080217725177,3.35,33.33154740605475,-3.36790371567906,23.0,4.84,-0.39123347401619,,,0
AGO,2014,-1.45822596549988,-1.05657386779785,-1.07495403289795,-1.14532363414764,-0.860683441162109,"0,52",-2.75620042901358,35.9601982257134,13.4287582139911,4.82255926962156,3300.73510980871,7.28038730361121,171.359468654,1,0,1,,,,,12.38052976980544,3.35,35.67555320051761,-9.36158824238636,19.0,4.79,-0.333232045173645,,,0
AGO,2015,-1.42772650718689,-0.929087340831757,-1.03065872192383,-1.17716491222382,-0.8636714220047,"0,52",-11.351655507595,56.7801551813803,24.7853019209701,0.943571561325001,3213.90261080059,9.35597215533784,100.0,1,0,1,,,,,21.14418153035956,3.35,40.94465991620175,-4.33540992083965,15.0,5.25,-0.50538581609726,,,0
AGO,2016,-1.48399043083191,-0.971493542194366,-1.00395023822784,-1.14032745361328,-0.969250917434692,"0,52",-5.84742399005694,114.845094739154,38.0756437635118,-2.58004964404932,3020.98332805417,30.6944150806719,87.8934159121,1,0,1,,,,,-4.922003097301156,3.4,39.16230805608631,-3.46377019577252,18.0,5.04,-0.321580082178116,,,0
AGO,2017,-1.44517171382904,-0.951988995075226,-1.03998208045959,-1.09524345397949,-1.04546654224396,"0,52",-0.858821843953161,84.9404832711627,25.4292237629753,-0.147212941085755,2911.60084214038,29.8444799015679,109.7727224356,1,0,1,,,,,-5.552697981807046,3.62,32.18652109127657,-4.07604745286516,19.0,4.41,-0.387895494699478,,,0
AGO,2018,-1.19948387145996,-1.00525164604187,-1.00106203556061,-0.903594315052032,-0.8006831407547,"0,52",9.31723397425301,84.2843625797666,28.5353974870477,-1.31636168896895,2775.74642272991,19.6289379701521,136.9240600691,1,0,1,,,,,-5.844003353374474,3.62,30.64644052372359,6.1049077207036,19.0,4.34,-0.347208589315414,,,0
AGO,2019,-1.05461812019348,-1.1284898519516,-1.02354824542999,-0.793109953403473,-0.833844542503357,"0,52",7.24618124732477,96.5947267900598,29.9160622680195,-0.702272957616017,2664.43850995544,17.080954143438,126.3241433624,1,0,1,,,,,0.09091878728126,3.72,33.69273393343332,6.94762016059845,26.0,5.03,-0.368411600589752,25.9,,0
AGO,2020,-0.93506121635437,-1.25748455524445,-0.951058804988861,-0.816005945205688,-0.856853485107422,"0,52",1.797710856441,148.159899274824,36.2643591957246,-5.63821471714934,2433.37637275564,22.271539247051,79.7126233723,1,0,1,,,,,8.028656853085675,3.66,40.0699484385323,3.79271532544114,,5.31,-0.599917888641357,,,0
AGO,2021,-0.649475812911987,-1.1263599395752,-0.983753621578217,-0.859023571014404,-0.670014679431915,"0,71",12.6297800641592,108.138096106725,29.2509172416252,1.19921052145153,2385.44881834294,25.7542948841891,111.8118495616,1,0,1,,,,,-13.98937224181136,3.37,25.86296099924665,4.78885132347378,,,-0.710480749607086,,,0
AGO,2022,-0.612375736236572,-1.02603423595428,-1.02203571796417,-0.807577967643738,-0.606698572635651,"0,71",11.2671532788355,62.7299371223109,30.3800197632965,3.04472652391918,2382.02263952585,21.3552901320822,,1,0,1,,,,,5.63414289470528,3.96,21.76057944694078,7.31599588502192,,,-0.630108535289764,,,0
AGO,2023,-0.60992020368576,-1.00890958309174,-1.09906601905823,-0.737252414226532,-0.761388182640076,"0,71",4.93369978468039,74.300461802381,33.4182205067185,1.00128936028298,2332.88691268977,13.6441017767715,,1,0,1,,,,,-0.5940137273335399,4.18,25.23496311586415,4.20828416661247,,,-0.34150505065918,,,0
ALB,2000,-0.855563640594482,-0.917780160903931,-1.02066767215729,-0.285138666629791,-0.415910124778748,"0,71",-4.49092085179739,31.2984369032889,4.47813553102625,6.94621659244254,1960.88245974115,0.0500181363468238,108.1429488785,0,0,0,,,,,15.57541160555962,,65.46317031757845,,,,-0.539989590644836,,5.0,0
ALB,2001,-0.850452274084091,-0.7710567712783816,-0.891494542360307,-0.1466444381512699,-0.3636554479599,"0,71",-5.542947808941,28.5148942075257,4.82402747654441,8.29331263121023,2143.52683947815,3.10758827031434,106.964920387,0,0,0,,,,,15.26170739105419,,69.82246609012174,,,,,,5.0,0
ALB,2002,-0.8453409075737,-0.624333381652832,-0.762321412563324,-0.008150209672749,-0.311400771141052,"0,71",-9.37243799545941,26.4836764719387,7.4566071862162,4.53652416035675,2247.49808010881,7.77052583431552,106.8372657034,0,0,0,,,,,11.2464777871879,,66.85227920444181,,,,-0.297719180583954,,7.0,0
ALB,2003,-0.853786587715149,-0.563986718654633,-0.716323494911194,0.0703076869249344,-0.490216553211212,"0,71",-7.24966532306394,26.906719150872,5.49953047234335,5.52863746491788,2380.64462078713,0.484002611818478,102.0164154947,0,0,0,,,,,8.623874258558116,,65.44231412537205,,,,-0.309780240058899,,7.0,0
ALB,2004,-0.723731815814972,-0.408371657133102,-0.701032340526581,0.0072374991141259,-0.187491565942764,"0,71",-4.98178261667359,21.8078627475742,5.23006115227209,5.51466791097914,2522.44937446209,2.28001916938101,100.0292353648,0,0,0,,,,,8.346054481121115,,68.2203666875648,-1.30959867992597,,7.13,-0.427259683609009,,7.0,0
ALB,2005,-0.813263893127441,-0.696387231349945,-0.763833165168762,0.0036717876791954,-0.400731235742569,"0,71",-7.09724132095197,25.8843273020755,6.21661566608379,5.52642424695465,2675.50863709675,2.36658195679795,98.9610229126,0,0,0,3.0,4.5,4.0,4.0,9.455505481942495,,71.41763244823251,-0.267088379525199,,6.99,-0.505047976970673,,9.0,0
ALB,2006,-0.790545284748077,-0.580952644348145,-0.703135848045349,0.0758899599313736,-0.14859938621521,"0,71",-7.5415759688391,27.4843849045644,8.22934498207676,5.90265903591924,2851.36775919961,2.37072831904282,98.9302575305,0,0,0,3.0,4.5,4.0,4.0,10.20876157999941,5.91,76.36567801222594,-0.50028075718772,,7.19,-0.508157312870026,,9.0,0
