country,year,Control_of_Corruption,External_Debt_to_GNI,GDP_Growth,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Treatment_Group,Criteria_1,Criteria_2
AFG,2021,-1.15226578712463,24.7857399527695,-20.7388393676343,-1.67058789730072,-1.87723398208618,-1.56838941574097,1,1,0
AFG,2022,-1.18368434906006,23.3368489769108,-6.24017199240269,-1.88003480434418,-1.65984559059143,-1.75352871417999,1,1,0
AFG,2023,-1.15493178367615,19.7980988255309,2.71088679128353,-1.98701369762421,-1.64964091777802,-1.85290133953094,1,1,0
AGO,2000,-1.197514295578,131.075486566154,3.05462423430785,-1.07503414154053,-1.60150170326233,-1.45806467533112,1,0,1
AGO,2001,,119.007608419805,4.2059985561951,,,,1,0,1
AGO,2002,-1.15549266338348,66.8015479069923,13.6656887608562,-1.13215708732605,-1.63334381580353,-1.23877906799316,1,0,1
AGO,2003,-1.33546328544617,56.6608944666511,2.99000000000001,-1.12422430515289,-1.48285591602325,-1.27261531352997,1,0,1
AGO,2004,-1.37756884098053,46.5316387283025,10.9500000059465,-1.32887244224548,-1.52091634273529,-1.28547978401184,1,0,1
AGO,2005,-1.32318198680878,37.1535135368479,15.0299999905513,-1.1102192401886,-1.46479499340057,-1.23471939563751,1,0,1
AGO,2006,-1.24103772640228,21.4383204383608,11.549999997879,-1.38104915618896,-1.31127274036407,-1.25208795070648,1,0,1
AGO,2007,-1.30749356746674,20.7080710064909,14.0100000086059,-1.20500719547272,-1.3751335144043,-1.18531394004822,1,0,1
AGO,2008,-1.30876457691193,20.8444196333637,11.1699999942146,-1.06138837337494,-1.37856388092041,-1.11934685707092,1,0,1
AGO,2009,-1.39776611328125,31.9407468104196,0.860000002152788,-0.945070207118988,-1.23628926277161,-1.12613534927368,1,0,1
AGO,2010,-1.33247494697571,35.3911613090284,4.39837593810763,-1.13826775550842,-1.27295327186584,-1.12052512168884,1,0,1
AGO,2011,-1.36746907234192,33.9687833337354,3.47205314798103,-1.19323122501373,-1.27705323696136,-1.12547838687897,1,0,1
AGO,2012,-1.30240142345428,30.7446796123415,8.54210707584141,-0.988945424556732,-1.30477690696716,-1.07624673843384,1,0,1
AGO,2013,-1.33697164058685,35.3141708088895,4.95461303112738,-1.24288654327393,-1.29094779491425,-1.11391913890839,1,0,1
AGO,2014,-1.45822596549988,35.9601982257134,4.82255926962156,-1.05657386779785,-1.07495403289795,-1.14532363414764,1,0,1
AGO,2015,-1.42772650718689,56.7801551813803,0.943571561325001,-0.929087340831757,-1.03065872192383,-1.17716491222382,1,0,1
AGO,2016,-1.48399043083191,114.845094739154,-2.58004964404932,-0.971493542194366,-1.00395023822784,-1.14032745361328,1,0,1
AGO,2017,-1.44517171382904,84.9404832711627,-0.147212941085755,-0.951988995075226,-1.03998208045959,-1.09524345397949,1,0,1
AGO,2018,-1.19948387145996,84.2843625797666,-1.31636168896895,-1.00525164604187,-1.00106203556061,-0.903594315052032,1,0,1
AGO,2019,-1.05461812019348,96.5947267900598,-0.702272957616017,-1.1284898519516,-1.02354824542999,-0.793109953403473,1,0,1
AGO,2020,-0.93506121635437,148.159899274824,-5.63821471714934,-1.25748455524445,-0.951058804988861,-0.816005945205688,1,0,1
AGO,2021,-0.649475812911987,108.138096106725,1.19921052145153,-1.1263599395752,-0.983753621578217,-0.859023571014404,1,0,1
AGO,2022,-0.612375736236572,62.7299371223109,3.04472652391918,-1.02603423595428,-1.02203571796417,-0.807577967643738,1,0,1
AGO,2023,-0.60992020368576,74.300461802381,1.00128936028298,-1.00890958309174,-1.09906601905823,-0.737252414226532,1,0,1
ALB,2000,-0.855563640594482,31.2984369032889,6.94621659244254,-0.917780160903931,-1.02066767215729,-0.285138666629791,0,0,0
ALB,2001,,28.5148942075257,8.29331263121023,,,,0,0,0
ALB,2002,-0.8453409075737,26.4836764719387,4.53652416035675,-0.624333381652832,-0.762321412563324,-0.00815020967274904,0,0,0
ALB,2003,-0.853786587715149,26.906719150872,5.52863746491788,-0.563986718654633,-0.716323494911194,0.0703076869249344,0,0,0
ALB,2004,-0.723731815814972,21.8078627475742,5.51466791097914,-0.408371657133102,-0.701032340526581,0.00723749911412597,0,0,0
ALB,2005,-0.813263893127441,25.8843273020755,5.52642424695465,-0.696387231349945,-0.763833165168762,0.0036717876791954,0,0,0
ALB,2006,-0.790545284748077,27.4843849045644,5.90265903591924,-0.580952644348145,-0.703135848045349,0.0758899599313736,0,0,0
ALB,2007,-0.706940054893494,27.0298318019354,5.98325951855567,-0.427722543478012,-0.661545991897583,0.113008469343185,0,0,0
ALB,2008,-0.605212390422821,32.8810151678961,7.50004143020151,-0.367063492536545,-0.600079298019409,0.174939081072807,0,0,0
ALB,2009,-0.545270919799805,38.853166748772,3.35428934987461,-0.255941480398178,-0.49437016248703,0.141477331519127,0,0,0
ALB,2010,-0.531616508960724,46.0423347588701,3.70693815255319,-0.279453217983246,-0.385760486125946,0.123838223516941,0,0,0
ALB,2011,-0.701794147491455,50.2880728178401,2.54540614450104,-0.202177077531815,-0.442926466464996,0.0623337626457214,0,0,0
ALB,2012,-0.778729438781738,60.3895494952424,1.4172427999078,-0.26892501115799,-0.519839763641357,0.0220640376210213,0,0,0
ALB,2013,-0.751372694969177,66.5334303235846,1.00201754071108,-0.324457377195358,-0.518828868865967,0.0488644428551197,0,0,0
ALB,2014,-0.5865718126297,63.7664595243345,1.77444885260394,-0.0497708097100258,-0.311199098825455,0.143689781427383,0,0,0
ALB,2015,-0.54514080286026,73.3124354680646,2.21872637517804,0.0275752544403076,-0.31968680024147,0.157135263085365,0,0,0
ALB,2016,-0.472373723983765,70.6502835755701,3.31498068384137,0.0290823616087437,-0.322631984949112,0.171097502112389,0,0,0
ALB,2017,-0.481386840343475,75.0961019961549,3.80259872019053,0.0985528454184532,-0.414191573858261,0.203885167837143,0,0,0
ALB,2018,-0.546018898487091,62.8264355512297,4.01934561695576,0.0805245339870453,-0.414752036333084,0.188786596059799,0,0,0
ALB,2019,-0.564274072647095,60.2870294294132,2.06256753999989,-0.0623007006943226,-0.426317363977432,0.141965284943581,0,0,0
ALB,2020,-0.573538780212402,69.8890319190523,-3.31371614712083,-0.155121222138405,-0.378028213977814,0.0863254442811012,0,0,0
ALB,2021,-0.577179968357086,62.1722783747637,8.96955339178935,-0.0359850227832794,-0.280716270208359,0.0855889618396759,0,0,0
ALB,2022,-0.408189445734024,55.7646367740804,4.82668831434437,0.0645405352115631,-0.165585100650787,0.141740188002586,0,0,0
ALB,2023,-0.332218527793884,48.8846201182997,3.93662525742167,0.250855356454849,-0.164097368717194,0.168997228145599,0,0,0
ARG,2000,-0.172407656908035,54.2417099417586,-0.78899893905691,-0.0280386935919523,-0.214404493570328,0.418346971273422,0,0,0
ARG,2001,,58.4932935172091,-4.40883968258557,,,,0,0,0
ARG,2002,-0.417055726051331,159.890183546743,-10.8944848285903,-0.228479072451591,-0.761098086833954,0.260062754154205,0,0,0
ARG,2003,-0.479976803064346,133.474955613907,8.83704079576924,-0.0342199839651585,-0.777115821838379,0.349125266075134,0,0,0
ARG,2004,-0.414409548044205,114.783966038451,9.02957330068152,0.015197392553091,-0.767380177974701,0.362040877342224,0,0,0
ARG,2005,-0.377738356590271,74.2469415660219,8.85165992013437,-0.0979790613055229,-0.557991087436676,0.269231617450714,0,0,0
ARG,2006,-0.33123853802681,52.8779757006235,8.04715150043027,-0.0339163094758987,-0.57701563835144,0.403436541557312,0,0,0
ARG,2007,-0.372122079133987,43.1501917496034,9.00765087504757,-0.0125325033441186,-0.60147225856781,0.448621332645416,0,0,0
ARG,2008,-0.434875011444092,36.7970755463574,4.05723310346406,-0.123509347438812,-0.699731647968292,0.358895927667618,0,0,0
ARG,2009,-0.445475101470947,41.4244681423918,-5.91852507634947,-0.294032037258148,-0.694468080997467,0.280091494321823,0,0,0
ARG,2010,-0.355230033397675,30.9493567310993,10.1253981561002,-0.1117919459939,-0.59809422492981,0.361670136451721,0,0,0
ARG,2011,-0.364098519086838,27.7443463568229,6.00395169280579,-0.0723610669374466,-0.563123285770416,0.344941824674606,0,0,0
ARG,2012,-0.445909202098846,26.2398392717053,-1.0264204544321,-0.206967011094093,-0.623034238815308,0.295209914445877,0,0,0
ARG,2013,-0.434306710958481,27.809883508059,2.40532378079436,-0.254236966371536,-0.656328618526459,0.276933550834656,0,0,0
ARG,2014,-0.549791395664215,30.3338678915012,-2.51261532081394,-0.111114293336868,-0.866627335548401,0.34527176618576,0,0,0
ARG,2015,-0.581265270709991,32.2082949986265,2.73115982828944,-0.0494756102561951,-0.74863588809967,0.411758154630661,0,0,0
ARG,2016,-0.299235552549362,35.1613251074643,-2.08032784377811,0.218796372413635,-0.320159524679184,0.49326366186142,0,0,0
ARG,2017,-0.309002459049225,37.7365221801036,2.81850297775918,0.135085612535477,-0.237312033772469,0.528708100318909,0,0,0
ARG,2018,-0.0992739275097847,58.6307152401281,-2.61739646282038,0.0280606187880039,-0.219330430030823,0.539252579212189,0,0,0
ARG,2019,-0.107116244733334,69.5902998339522,-2.00086100285785,-0.120795331895351,-0.427360445261002,0.570874631404877,0,0,0
ARG,2020,-0.163570061326027,73.3926445591354,-9.9004848136464,-0.254261821508408,-0.486265957355499,0.584501206874847,0,0,0
ARG,2021,-0.422596842050552,55.9476971135758,10.4418119882506,-0.390557259321213,-0.477947890758514,0.610777020454407,0,0,0
ARG,2022,-0.447221606969833,42.9676924073569,5.26987967384072,-0.28348970413208,-0.482351809740067,0.546316981315613,0,0,0
ARG,2023,-0.360883951187134,42.0664911888795,-1.61100162090189,-0.377517342567444,-0.410826534032822,0.533921837806702,0,0,0
ARM,2000,-0.84808623790741,51.6822939077758,5.90000000312092,-0.546417593955994,-0.50101625919342,-0.374595284461975,0,0,0
ARM,2001,,64.6369814678621,9.59999999927597,,,,0,0,0
ARM,2002,-0.77816516160965,69.9371558433651,13.1999999979356,-0.0457692667841911,-0.438531368970871,-0.444421142339706,0,0,0
ARM,2003,-0.649022400379181,68.8336104106055,14.0000000015501,-0.197253704071045,-0.302864640951157,-0.467406183481216,0,0,0
ARM,2004,-0.703455328941345,56.5888045570056,10.4999999988202,-0.118263445794582,-0.481950610876083,-0.572165548801422,0,0,0
